species,centroid_lon,centroid_lat
Cyanistes cyanus,105.496186999914,40.3892391901323
Melanochlora sultanea,108.091514096946,25.6285104769296
Pardaliparus venustulus,111.53192392812,33.879550070555
Parus major,84.999146142582,41.0398271437856
Parus monticolus,104.903685170479,31.163184067691
Sittiparus varius,121.603983468987,37.8522188959896
Sylviparus modestus,,
Passer cinnamomeus,103.751757417858,32.100179751856
Passer domesticus,97.9844642399294,35.5021122377294
Passer hispaniolensis,87.4712687205392,40.961651612229
Pellorneum albiventre,94.1946022690239,29.4496209225316
Pellorneum tickelli,,
Phylloscopus affinis,93.7904980009261,35.2195874512647
Phylloscopus borealoides,115.159888488105,28.7492297040718
Phylloscopus burkii,104.635223177122,30.5374135148211
Phylloscopus cantator,91.8659774985578,30.1121524046297
Phylloscopus castaniceps,104.204056068447,32.3663101462451
Phylloscopus claudiae,104.510415598397,30.4511424425805
Phylloscopus collybita,95.9471032347615,36.0324522230232
Phylloscopus emeiensis,102.950914996472,27.9360947576217
Phylloscopus humei,114.432306768752,38.7065852424095
Phylloscopus intermedius,101.590445248682,29.4008126438487
Phylloscopus maculipennis,,
