species,province,longitude,latitude,grid_id,pub_year,dist_to_grid
Spilopelia chinensis,Jilin,125.4,43.81,3295,2022,0.227945613626182
Spilopelia chinensis,Inner Mongolia,111.72,40.81,2704,2006,0.213492574990744
Spilopelia senegalensis,Gansu,97.11,40.47,2602,2023,0.0842463933585665
Streptopelia decaocto,Heilongjiang,125.26,49.1,3702,2006,0.25911047108194
Treron curvirostra,Guangdong,112.55,23.17,112,2023,0.233680912083796
Treron seimundi,Yunnan,100.33,24.9,239,2022,0.261878827285692
Treron sieboldii,Henan,111.3,33.04,1346,2024,0.225291461540885
Treron sieboldii,Jiangxi,114.38,24.49,226,2011,0.188051030869631
Treron sieboldii,Zhejiang,119.67,27.71,638,2021,0.210012556255017
Treron sphenurus,Guangdong,112.55,23.17,112,2023,0.233680912083796
Alcedo hercules,Fujian,117.3,26.51,477,2006,0.286102358618187
Ceryle rudis,Beijing,116.23,40.27,2634,2011,0.139274440294651
Ceryle rudis,Liaoning,123.52,41.98,3083,2025,0.166648684512065
Ceryle rudis,Shaanxi,109.01,34.42,1576,2020,0.148757687821146
Halcyon coromanda,Shandong,119.55,35.47,1966,2008,0.449461138970989
Halcyon pileata,Tibet,97.49,28.82,659,2018,0.283874868719613
Halcyon smyrnensis,Tibet,95.32,29.33,723,2014,0.243880301961807
Halcyon smyrnensis,Jiangsu,118.62,32.12,1281,2010,0.193487115600575
Halcyon smyrnensis,Shandong,119.71,35.62,1966,2024,0.270059696055718
Halcyon smyrnensis,Shanghai,121,31.07,1209,2009,0.168951128000873
Megaceryle lugubris,Inner Mongolia,117.23,42.95,3073,2015,0.211295471621716
Megaceryle lugubris,Qinghai,102.66,36.41,1863,2019,0.144290320839372
Megaceryle lugubris,Tibet,95.2,29.25,723,2019,0.102455205880902
Todiramphus chloris,Fujian,119.67,26.01,440,2006,0.100866096270912
Coracias garrulus,Qinghai,97.29,37.19,2075,2022,0.308318837996764
Merops philippinus,Henan,111.24,33.06,1345,2023,0.258225304039236
Cacomantis merulinus,Shaanxi,107.5,33.65,1418,2016,0.234790635773827
Centropus bengalensis,Hebei,117.3,38.38,2341,2003,0.0417330027666688
Centropus bengalensis,Liaoning,124.02,41.87,3084,2022,0.206056886671001
Centropus bengalensis,Tibet,95.34,29.34,723,2024,0.266240917431261
Centropus bengalensis,Zhejiang,120.27,30.19,986,2003,0.203046544944038
Clamator coromandus,Beijing,115.43,39.97,2556,2003,0.302118385373998
Clamator coromandus,Heilongjiang,128.85,45.97,3526,2013,0.320101386809802
Clamator coromandus,Liaoning,123.63,39.85,2721,2022,0.107141299708278
Clamator jacobinus,Yunnan,98.9,25.03,236,2021,0.148821631655481
Eudynamys scolopaceus,Liaoning,120.38,40.55,2799,2018,0.341163383280242
Eudynamys scolopaceus,Qinghai,90.86,38.25,2296,2024,0.140888746481019
Eudynamys scolopaceus,Shanxi,111.92,35.42,1733,2020,0.279837465557378
Eudynamys scolopaceus,Tibet,86.6,30.53,1070,2016,0.201996618783023
Hierococcyx nisicolor,Shaanxi,107.5,33.65,1418,2016,0.234790635773827
Falco cherrug,Yunnan,99.92,26.47,359,2018,0.0826038019628449
Falco severus,Tibet,95.28,29.32,723,2014,0.203800750178134
Chrysolophus pictus,Shanxi,111.32,34.97,1657,2007,0.251260048368121
Chrysolophus pictus,Shanxi,111.32,34.97,1657,2007,0.251260048368121
Crossoptilon mantchuricum,Henan,112.2,35.22,1734,2024,0.0679629789247695
Lophura nycthemera,Guangdong,114.23,22.9,115,2024,0.0552753018389489
Lophura nycthemera,Jiangsu,119.58,31.23,1206,2017,0.247195767891647
Pavo cristatus,Tibet,89.02,27.23,581,2025,0.418039525994896
Perdix hodgsoniae,Yunnan,99.95,28.04,541,2013,0.176485813639524
Syrmaticus humiae,Yunnan,104.37,23.1,69,2022,0.246744573945021
Syrmaticus reevesii,Guangxi,106.28,24.8,210,2021,0.218010344726525
Tragopan caboti,Anhui,118.23,29.43,838,2022,0.201049571052315
Tragopan temminckii,Henan,110.38,34.38,1579,2021,0.151826885207697
Gavia adamsii,Jilin,127.66,42.05,3147,2012,0.192386670387514
Gavia adamsii,Jiangsu,119.82,34,1673,2009,0.131767630592953
Gavia adamsii,Sichuan,104.28,30.98,956,2006,0.181186376860072
Gavia arctica,Liaoning,123.33,41.83,3020,2023,0.132115650140811
Gavia arctica,Shaanxi,109.15,34.43,1577,2018,0.274273240597688
Gavia arctica,Yunnan,99.76,27.59,489,2023,0.194363374239239
Gavia pacifica,Zhejiang,122.37,29.9,989,2025,0.574172648211814
Gavia stellata,Anhui,116.2,30.92,1052,2021,0.0550296034206936
