species,bio1_native,bio12_native
Hydrophasianus chirurgus,0.890580803391913,68.8478077915261
Ixobrychus eurhythmus,1.06877914836816,29.0198578082279
Megaceryle lugubris,0.8447873522684,-5.39349744739582
Muscicapa muttui,0.727624390531271,11.6112862431053
Niltava sundara,0.591324647309101,57.1342836122906
Passer hispaniolensis,1.49449036839515,35.212892685297
Phylloscopus proregulus,1.71086533376185,-23.9465492069014
Remiz consobrinus,1.28930482394172,52.7596737930597
Stachyris humei,0.28569265379423,-96.1272823713343
Alcippe morrisonia,0.766834928363448,153.362613731898
Anser fabalis,1.64897772155626,2.74058842503496
Ardeola grayii,0.864690562273623,6.08087549385277
Cacomantis merulinus,0.71631673619412,100.356612743687
Carpodacus roborowskii,0.888033020779917,-9.78526241463521
Dicaeum ignipectus,0.75712336539236,103.072854989176
Eudynamys scolopaceus,0.755600874882075,85.5195587421162
Ficedula erithacus,0.953795208045412,-13.3465047994744
Hierococcyx nisicolor,0.719851858072143,135.381448647789
Ixos mcclellandii,1.00744971165724,101.468570752111
Lophophanes dichrous,0.818039905617916,8.83281306743334
Macropygia unchall,0.81540261661698,97.0700097139402
Pomatorhinus schisticeps,0.768218433009064,50.7600173780952
Prinia atrogularis,0.646801529717008,-62.3156701001984
Prinia inornata,0.798863276151336,59.7748396997339
Psarisomus dalhousiae,0.782317145314242,44.5512331412572
Zoothera dixoni,0.717683838860067,7.56214248053709
Abroscopus albogularis,0.802423412425431,19.0219623802063
Acrocephalus bistrigiceps,1.31904785759974,28.6658165635168
Acrocephalus dumetorum,1.25320048154736,57.1345949997116
Aethopyga gouldiae,0.623862926318157,122.621242909429
Anthus richardi,1.45068158006093,3.78949861892806
Columba oenas,1.34558465315189,7.71807754161523
Cygnus cygnus,1.69363376882917,31.1734424195936
Emberiza buchanani,1.29900028082706,-28.3527265935926
Emberiza citrinella,1.14536829770186,44.3928564499453
Emberiza elegans,1.14111116242149,21.3076469349398
Ficedula albicilla,1.84971759845065,36.582674182623
Ficedula ruficauda,0.898458844846574,3.03446583138748
Ficedula strophiata,0.629329916907029,108.56680378648
Fringilla coelebs,1.72268365686414,43.4116465055341
Hydrocoloeus minutus,1.29917355291485,40.8454132535522
Lanius collurioides,0.43215419108261,192.884058068739
Lophura nycthemera,0.856858815489655,151.576137536216
Melanitta stejnegeri,1.94376552237916,22.3534011184954
Mergus serrator,1.64781307708869,30.2614177164279
Netta rufina,1.37597241855715,-1.49243537138521
Oriolus oriolus,1.2004277931631,17.7051895834674
Periparus rubidiventris,0.802614349937098,63.7600307121526
Phoenicurus frontalis,0.726243095064364,53.2468398476259
Pitta moluccensis,0.369623394809206,292.137734494493
Platalea minor,0.873871111824911,-115.547075881969
Podiceps auritus,1.01563449443778,18.8037743529967
Psilopogon virens,0.594094458151584,153.309404902897
Pterorhinus lanceolatus,0.67373896225743,79.1279550637494
Pterorhinus sannio,0.65807167656731,93.4346528438505
Sitta cinnamoventris,0.534365345165867,113.457999881226
Spizixos semitorques,0.883058447935144,26.7840151085644
Sula sula,0.451126088806117,89.2478114679573
Suthora fulvifrons,0.658213355271116,54.9954100179311
Urosphena squameiceps,0.720553269367892,-87.7549270646384
Anastomus oscitans,0.562450398626665,69.6860951498566
Aviceda jerdoni,0.57914870014352,87.8728688274314
Cettia brunnifrons,0.517860201635692,-41.3773081192176
Ciconia boyciana,1.06848120658927,69.7894377668462
Delichon dasypus,0.745265192787309,27.897908967771
Dendrocitta formosae,0.524924042321906,-6.39251936073765
Enicurus maculatus,0.836954919524491,-9.20138446580734
Eumyias thalassinus,0.754917985816507,8.22308871887503
Falco cherrug,0.856751490891871,22.3243890570798
Gavia arctica,1.5599909301928,21.5251944471765
Halcyon pileata,0.735201706042826,31.0254683682979
Hemiprocne coronata,0.319192406822449,-62.4362888324415
Heteroxenicus stellatus,0.44830913638404,-37.9524939758671
Ianthocincla lunulata,0.611783552201789,6.1882563097364
Melanochlora sultanea,0.588805450186193,-111.056520328139
Myiomela leucura,0.427006282774205,12.8511578654982
Niltava davidi,0.526637798810086,44.4556557393348
Pernis ptilorhynchus,0.614337252153312,26.142122058809
Phylloscopus claudiae,0.764642965915952,21.9214534330733
Psilopogon faber,0.497476984353646,-22.9118612575801
Pycnonotus xanthorrhous,0.745263166812523,-29.7755849459066
Spodiopsar cineraceus,0.907969349235875,47.9102963485293
Tarsiger indicus,0.443616645076592,13.1693647774783
Turdus rubrocanus,0.759575028304066,39.0997672937841
Ardea purpurea,0.852922170605925,41.9056952044334
Asarcornis scutulata,0.811004360277202,-269.385746752252
Caprimulgus macrurus,0.600220496232023,-158.372431027022
Dicrurus remifer,0.841384734565576,-223.194813378484
Elachura formosa,0.800583666440677,-206.937894140339
Erpornis zantholeuca,0.840716827261872,-167.130437705877
Erythrogenys hypoleucos,0.834142371362148,-205.821683041572
Ficedula mugimaki,1.39031153171784,17.9326844068733
Glareola lactea,0.60712845788424,42.4611584341799
Gorsachius melanolophus,0.883650732297745,-141.955716344946
Grus vipio,1.10308247989499,28.7894191883012
