species,record_count_new_record,first_year,provinces_recorded,new_record_order
Limnodromus scolopaceus,6,2014,Guangxi | Heilongjiang | Hubei | Liaoning | Shaanxi | Sichuan,Charadriiformes
Limnodromus semipalmatus,2,2011,Shaanxi | Xinjiang,Charadriiformes
Limosa lapponica,1,2013,Yunnan,Charadriiformes
Limosa limosa,1,2011,Ningxia,Charadriiformes
Linaria cannabina,1,2023,Inner Mongolia,Passeriformes
Locustella davidi,2,2003,Guangxi | Liaoning,Passeriformes
Locustella mandelli,2,2010,Guizhou | Hunan,Passeriformes
Lonchura striata,3,2006,Gansu | Tibet,Passeriformes
Lophophanes dichrous,1,2016,Hubei,Passeriformes
Lophotriorchis kienerii,1,2019,Tibet,Accipitriformes
Lophura leucomelanos,1,2024,Tibet,Galliformes
Lophura nycthemera,2,2017,Guangdong | Jiangsu,Galliformes
Loxia curvirostra,1,2024,Hubei,Passeriformes
Machlolophus xanthogenys,1,2010,Tibet,Passeriformes
Macropygia unchall,3,2016,Jiangsu | Tibet | Zhejiang,Columbiformes
Mareca americana,1,2007,Jilin,Anseriformes
Mareca falcata,2,2019,Gansu | Xinjiang,Anseriformes
Megaceryle lugubris,3,2015,Inner Mongolia | Qinghai | Tibet,Coraciiformes
Melanitta fusca,3,2021,Guangdong | Henan | Shanghai,Anseriformes
Melanitta stejnegeri,3,2017,Guizhou | Shaanxi,Anseriformes
Melanochlora sultanea,2,2018,Tibet | Zhejiang,Passeriformes
Mergus serrator,4,2017,Guizhou | Hunan | Shaanxi | Yunnan,Anseriformes
Merops philippinus,1,2023,Henan,Coraciiformes
Mixornis gularis,1,2005,Guangxi,Passeriformes
Monticola gularis,1,2013,Sichuan,Passeriformes
Monticola rufiventris,1,2007,Shaanxi,Passeriformes
Monticola solitarius,1,2019,Qinghai,Passeriformes
Motacilla citreola,1,2011,Hunan,Passeriformes
Moupinia poecilotis,1,2022,Tibet,Passeriformes
Muscicapa dauurica,1,2011,Xinjiang,Passeriformes
Muscicapa ferruginea,3,2013,Gansu | Hunan | Zhejiang,Passeriformes
Muscicapa muttui,4,2015,Henan | Hunan | Jiangsu | Shanghai,Passeriformes
Mycerobas affinis,2,2009,Shaanxi | Shandong,Passeriformes
Mycerobas carnipes,1,2021,Henan,Passeriformes
Mycteria leucocephala,1,2009,Guizhou,Ciconiiformes
Myiomela leucura,1,2018,Jiangxi,Passeriformes
Myophonus caeruleus,1,2002,Guangxi,Passeriformes
Napothera malacoptila,1,2000,Yunnan,Passeriformes
Neophron percnopterus,1,2012,Xinjiang,Accipitriformes
Netta rufina,4,2017,Anhui | Jilin | Liaoning | Shanghai,Anseriformes
Niltava davidi,1,2018,Zhejiang,Passeriformes
Niltava grandis,1,2003,Guangxi,Passeriformes
Niltava macgrigoriae,1,2023,Shandong,Passeriformes
Niltava sundara,1,2015,Hunan,Passeriformes
Ninox japonica,1,2023,Hunan,Strigiformes
Nipponia nippon,1,2024,Gansu,Pelecaniformes
Nisaetus nipalensis,3,2007,Gansu | Guizhou,Accipitriformes
Numenius madagascariensis,1,2007,Shaanxi,Charadriiformes
Numenius minutus,1,2025,Gansu,Charadriiformes
Numenius phaeopus,1,2013,Yunnan,Charadriiformes
Nycticorax nycticorax,1,2014,Tibet,Pelecaniformes
Oceanites oceanicus,1,2022,Zhejiang,Procellariiformes
Oenanthe deserti,3,2012,Shanghai | Sichuan | Zhejiang,Passeriformes
