algorithm,mean_auc,mean_tss,mean_threshold,available,species
GAM,0.5910153761817276,0.21515713634353303,0.021381084805254105,TRUE,Recurvirostra avosetta
GBM,0.5694985712242191,0.1449172781954867,0.030318956646117,TRUE,Recurvirostra avosetta
GLM,0.6701681959071624,0.34896318067155646,0.09169965127894743,TRUE,Recurvirostra avosetta
MaxEnt,NA,NA,NA,TRUE,Recurvirostra avosetta
RF,0.6517893016705479,0,0,TRUE,Recurvirostra avosetta
GAM,0.5971010020784477,0.17377477723481388,0.2541622734324762,TRUE,Aythya fuligula
GBM,0.5846295422572655,0.08696507634889339,0.05114571142176218,TRUE,Aythya fuligula
GLM,0.6411612272852235,0.2700362781531775,0.19632715351812116,TRUE,Aythya fuligula
MaxEnt,NA,NA,NA,TRUE,Aythya fuligula
RF,0.660541537082165,0,0,TRUE,Aythya fuligula
GAM,0.7624652789743378,0.5138793305588358,0.2097848630112821,TRUE,Halcyon smyrnensis
GBM,0.784383317923388,0.592119504197797,0.07777769155373404,TRUE,Halcyon smyrnensis
GLM,0.8229802051043815,0.6069186866826553,0.18947522863714308,TRUE,Halcyon smyrnensis
MaxEnt,NA,NA,NA,TRUE,Halcyon smyrnensis
RF,0.7289550358111431,0.4771896776280923,0.023333333333333334,TRUE,Halcyon smyrnensis
GAM,0.6624623952666335,0.278751721246284,0.09666135501757747,TRUE,Vanellus vanellus
GBM,0.5955443998409095,0.2533168080238959,0.0705001372911167,TRUE,Vanellus vanellus
GLM,0.6324487352761891,0.25243284003250505,0.11339227369405075,TRUE,Vanellus vanellus
MaxEnt,NA,NA,NA,TRUE,Vanellus vanellus
RF,0.5969139775478298,0.09323455536672287,0.014666666666666666,TRUE,Vanellus vanellus
GAM,0.625436429504466,0.2636824656907827,0.13571035230389084,TRUE,Acrocephalus orientalis
GBM,0.584730413391457,0.2506017889356187,0.04416273142860966,TRUE,Acrocephalus orientalis
GLM,0.6765671701088719,0.35080111901093874,0.10682616592661451,TRUE,Acrocephalus orientalis
MaxEnt,NA,NA,NA,TRUE,Acrocephalus orientalis
RF,0.5898623488482029,0.05531302231181749,0.005333333333333334,TRUE,Acrocephalus orientalis
GAM,0.7329787669552754,0.38320131159557774,0.22412763086212056,TRUE,Emberiza rustica
GBM,0.7205738079904418,0.35614968275318715,0.06079856066363305,TRUE,Emberiza rustica
GLM,0.6959770412809682,0.3902830527983268,0.13843234234108448,TRUE,Emberiza rustica
MaxEnt,NA,NA,NA,TRUE,Emberiza rustica
RF,0.6484294470082634,0.230952398299919,0.011333333333333334,TRUE,Emberiza rustica
GAM,0.7339128171047373,0.4295562612006051,0.11779303862595229,TRUE,Parus monticolus
GBM,0.7223370590687731,0.4393375366489488,0.07050751572463203,TRUE,Parus monticolus
GLM,0.6411506901508055,0.2983306232725743,0.155922797656053,TRUE,Parus monticolus
MaxEnt,NA,NA,NA,TRUE,Parus monticolus
RF,0.7131609796967268,0.44892802326039616,0.029333333333333333,TRUE,Parus monticolus
GAM,0.6273137686027972,0.3487186576016609,0.11154855111847731,TRUE,Aix galericulata
GBM,0.6070631730493916,0.3223353799399861,0.07718060510501991,TRUE,Aix galericulata
GLM,0.6992517138992048,0.3792752174653552,0.1870798639805446,TRUE,Aix galericulata
MaxEnt,NA,NA,NA,TRUE,Aix galericulata
RF,0.6298905641158062,0.1884611967827548,0.023333333333333334,TRUE,Aix galericulata
GAM,0.6237487924466971,0.24734181945692332,0.028457867255998155,TRUE,Dicrurus hottentottus
GBM,0.6262744039373992,0.21403324609858174,0.032440377772265654,TRUE,Dicrurus hottentottus
GLM,0.6787361213781288,0.3326723108396317,0.1171158269956017,TRUE,Dicrurus hottentottus
MaxEnt,NA,NA,NA,TRUE,Dicrurus hottentottus
RF,0.6383110063602392,0.11213938615650654,0.0033333333333333335,TRUE,Dicrurus hottentottus
GAM,0.6350544430888634,0.2279141493848098,0.1745116298200212,TRUE,Aythya nyroca
GBM,0.5580161580839202,0.1438558923083369,0.06170812088421519,TRUE,Aythya nyroca
GLM,0.656084040773381,0.28434277956586973,0.18160599429835073,TRUE,Aythya nyroca
MaxEnt,NA,NA,NA,TRUE,Aythya nyroca
RF,0.6184329011384182,0.03730114983754658,0.002,TRUE,Aythya nyroca
GAM,0.6673284246078847,0.3943761555779032,0.08862336427053126,TRUE,Pericrocotus solaris
GBM,0.6302564513417868,0.3674398957517938,0.04090758763763162,TRUE,Pericrocotus solaris
GLM,0.739346534423488,0.49410938077066363,0.14985244327565486,TRUE,Pericrocotus solaris
MaxEnt,NA,NA,NA,TRUE,Pericrocotus solaris
RF,0.6140720027532531,0.22154363768934826,0.011333333333333332,TRUE,Pericrocotus solaris
GAM,0.7615960094756353,0.33533723684695127,0.26620394839589706,TRUE,Anthus richardi
GBM,0.7002533916995176,0.20139927127363688,0.16659430131249903,TRUE,Anthus richardi
GLM,0.7927631085537625,0.37592514923906645,0.2615106256714992,TRUE,Anthus richardi
