"species","species_cn","english_name","order","iucn","n_event_records","tree_label_direct","target_tree_label","bridge_type","bridge_note","tree_label_final","exact_match","bridged_match","unresolved","match_status"
"Zoothera monticola","大长嘴地鸫","Long-billed Thrush","Passeriformes","LC",2,"Zoothera_monticola",NA,NA,NA,"Zoothera_monticola",TRUE,FALSE,FALSE,"Exact match"
"Zosterops erythropleurus","红胁绣眼鸟","Chestnut-flanked White-eye","Passeriformes","LC",1,"Zosterops_erythropleurus",NA,NA,NA,"Zosterops_erythropleurus",TRUE,FALSE,FALSE,"Exact match"
"Zosterops meyeni","日本绣眼鸟","Lowland White-eye","Passeriformes","LC",1,"Zosterops_meyeni",NA,NA,NA,"Zosterops_meyeni",TRUE,FALSE,FALSE,"Exact match"
"Ardea intermedia","中白鹭","Intermediate Egret","Pelecaniformes","LC",2,"Ardea_intermedia",NA,NA,NA,"Ardea_intermedia",TRUE,FALSE,FALSE,"Exact match"
"Ardea purpurea","草鹭","Purple Heron","Pelecaniformes","LC",1,"Ardea_purpurea",NA,NA,NA,"Ardea_purpurea",TRUE,FALSE,FALSE,"Exact match"
"Ardeola grayii","印度池鹭","Indian Pond Heron","Pelecaniformes","LC",1,"Ardeola_grayii",NA,NA,NA,"Ardeola_grayii",TRUE,FALSE,FALSE,"Exact match"
"Ardeola speciosa","爪哇池鹭","Javan Pond-Heron","Pelecaniformes","LC",1,"Ardeola_speciosa",NA,NA,NA,"Ardeola_speciosa",TRUE,FALSE,FALSE,"Exact match"
"Bubulcus ibis","牛背鹭","Cattle Egret","Pelecaniformes","NR",3,"Bubulcus_ibis",NA,NA,NA,"Bubulcus_ibis",TRUE,FALSE,FALSE,"Exact match"
"Egretta eulophotes","黄嘴白鹭","Chinese Egret","Pelecaniformes","VU",2,"Egretta_eulophotes",NA,NA,NA,"Egretta_eulophotes",TRUE,FALSE,FALSE,"Exact match"
"Egretta garzetta","白鹭","Little Egret","Pelecaniformes","LC",1,"Egretta_garzetta",NA,NA,NA,"Egretta_garzetta",TRUE,FALSE,FALSE,"Exact match"
"Egretta picata","斑鹭","Pied Heron","Pelecaniformes","LC",1,"Egretta_picata",NA,NA,NA,"Egretta_picata",TRUE,FALSE,FALSE,"Exact match"
"Gorsachius goisagi","栗头鳽","Japanese Night Heron","Pelecaniformes","VU",1,"Gorsachius_goisagi",NA,NA,NA,"Gorsachius_goisagi",TRUE,FALSE,FALSE,"Exact match"
"Ixobrychus cinnamomeus","栗苇鳽","Cinnamon Bittern","Pelecaniformes","LC",1,"Ixobrychus_cinnamomeus",NA,NA,NA,"Ixobrychus_cinnamomeus",TRUE,FALSE,FALSE,"Exact match"
"Ixobrychus eurhythmus","紫背苇鳽","Schrenck's Bittern","Pelecaniformes","LC",1,"Ixobrychus_eurhythmus",NA,NA,NA,"Ixobrychus_eurhythmus",TRUE,FALSE,FALSE,"Exact match"
"Ixobrychus minutus","小苇鳽","Common Little Bittern","Pelecaniformes","LC",1,"Ixobrychus_minutus",NA,NA,NA,"Ixobrychus_minutus",TRUE,FALSE,FALSE,"Exact match"
"Mycteria leucocephala","白头鹮鹳","Painted Stork","Pelecaniformes","LC",1,"Mycteria_leucocephala",NA,NA,NA,"Mycteria_leucocephala",TRUE,FALSE,FALSE,"Exact match"
"Nycticorax nycticorax","夜鹭","Black-crowned Night Heron","Pelecaniformes","LC",1,"Nycticorax_nycticorax",NA,NA,NA,"Nycticorax_nycticorax",TRUE,FALSE,FALSE,"Exact match"
"Oroanassa magnifica","海南鳽","White-eared Night Heron","Pelecaniformes","EN",7,"Oroanassa_magnifica",NA,NA,NA,"Oroanassa_magnifica",TRUE,FALSE,FALSE,"Exact match"
"Pelecanus crispus","卷羽鹈鹕","Dalmatian Pelican","Pelecaniformes","NT",1,"Pelecanus_crispus",NA,NA,NA,"Pelecanus_crispus",TRUE,FALSE,FALSE,"Exact match"
"Pelecanus onocrotalus","白鹈鹕","Great White Pelican","Pelecaniformes","LC",3,"Pelecanus_onocrotalus",NA,NA,NA,"Pelecanus_onocrotalus",TRUE,FALSE,FALSE,"Exact match"
"Plegadis falcinellus","彩鹮","Glossy Ibis","Pelecaniformes","LC",2,"Plegadis_falcinellus",NA,NA,NA,"Plegadis_falcinellus",TRUE,FALSE,FALSE,"Exact match"
"Phoenicopterus roseus","大红鹳","Greater Flamingo","Phoenicopteriformes","LC",19,"Phoenicopterus_roseus","Phoenicopterus_roseus","Direct-format safeguard","Explicit bridge retained to make the audit table complete.","Phoenicopterus_roseus",TRUE,FALSE,FALSE,"Exact match"
"Dendrocopos hyperythrus","棕腹啄木鸟","Rufous-bellied Woodpecker","Piciformes","LC",1,"Dendrocopos_hyperythrus",NA,NA,NA,"Dendrocopos_hyperythrus",TRUE,FALSE,FALSE,"Exact match"
"Indicator xanthonotus","黄腰响蜜鴷","Yellow-rumped Honeyguide","Piciformes","LC",1,"Indicator_xanthonotus",NA,NA,NA,"Indicator_xanthonotus",TRUE,FALSE,FALSE,"Exact match"
"Picumnus innominatus","斑姬啄木鸟","Speckled Piculet","Piciformes","LC",2,"Picumnus_innominatus",NA,NA,NA,"Picumnus_innominatus",TRUE,FALSE,FALSE,"Exact match"
"Picus chlorolophus","黄冠啄木鸟","Lesser Yellownape","Piciformes","LC",1,"Picus_chlorolophus",NA,NA,NA,"Picus_chlorolophus",TRUE,FALSE,FALSE,"Exact match"
"Psilopogon faber","黑眉拟啄木鸟","Chinese Barbet","Piciformes","LC",1,"Psilopogon_faber",NA,NA,NA,"Psilopogon_faber",TRUE,FALSE,FALSE,"Exact match"
"Psilopogon faiostrictus","黄纹拟啄木鸟","Green-eared Barbet","Piciformes","LC",2,"Psilopogon_faiostrictus",NA,NA,NA,"Psilopogon_faiostrictus",TRUE,FALSE,FALSE,"Exact match"
"Psilopogon virens","大拟啄木鸟","Great Barbet","Piciformes","LC",1,"Psilopogon_virens",NA,NA,NA,"Psilopogon_virens",TRUE,FALSE,FALSE,"Exact match"
"Sasia ochracea","白眉棕啄木鸟","White-browed Piculet","Piciformes","LC",2,"Sasia_ochracea",NA,NA,NA,"Sasia_ochracea",TRUE,FALSE,FALSE,"Exact match"
"Podiceps auritus","角䴙䴘","Horned Grebe","Podicipediformes","VU",2,"Podiceps_auritus",NA,NA,NA,"Podiceps_auritus",TRUE,FALSE,FALSE,"Exact match"
"Podiceps grisegena","赤颈䴙䴘","Red-necked Grebe","Podicipediformes","LC",1,"Podiceps_grisegena",NA,NA,NA,"Podiceps_grisegena",TRUE,FALSE,FALSE,"Exact match"
"Podiceps nigricollis","黑颈䴙䴘","Black-necked Grebe","Podicipediformes","LC",2,"Podiceps_nigricollis",NA,NA,NA,"Podiceps_nigricollis",TRUE,FALSE,FALSE,"Exact match"
"Ardenna pacifica","楔尾鹱","Wedge-tailed Shearwater","Procellariiformes","LC",2,"Ardenna_pacifica",NA,NA,NA,"Ardenna_pacifica",TRUE,FALSE,FALSE,"Exact match"
"Calonectris leucomelas","白额鹱","Streaked Shearwater","Procellariiformes","NT",2,"Calonectris_leucomelas",NA,NA,NA,"Calonectris_leucomelas",TRUE,FALSE,FALSE,"Exact match"
"Oceanites oceanicus","黄蹼洋海燕","Wilson's Storm-petrel","Procellariiformes","LC",1,"Oceanites_oceanicus",NA,NA,NA,"Oceanites_oceanicus",TRUE,FALSE,FALSE,"Exact match"
"Otus semitorques","日本领角鸮","Japanese Scops Owl","Procellariiformes","LC",5,"Otus_semitorques",NA,NA,NA,"Otus_semitorques",TRUE,FALSE,FALSE,"Exact match"
"Phoebastria immutabilis","黑背信天翁","Laysan Albatross","Procellariiformes","NT",1,"Phoebastria_immutabilis",NA,NA,NA,"Phoebastria_immutabilis",TRUE,FALSE,FALSE,"Exact match"
"Syrrhaptes paradoxus","毛腿沙鸡","Pallas's Sandgrouse","Pterocliformes","LC",1,"Syrrhaptes_paradoxus",NA,NA,NA,"Syrrhaptes_paradoxus",TRUE,FALSE,FALSE,"Exact match"
"Asio flammeus","短耳鸮","Short-eared Owl","Strigiformes","LC",1,"Asio_flammeus",NA,NA,NA,"Asio_flammeus",TRUE,FALSE,FALSE,"Exact match"
"Athene noctua","纵纹腹小鸮","Little Owl","Strigiformes","LC",2,"Athene_noctua",NA,NA,NA,"Athene_noctua",TRUE,FALSE,FALSE,"Exact match"
"Bubo nipalensis","林雕鸮","Spot-bellied Eagle-owl","Strigiformes","LC",2,"Bubo_nipalensis","Ketupa_nipalensis","Genus update","Eagle-owl generic revision in the tree taxonomy.","Ketupa_nipalensis",FALSE,TRUE,FALSE,"Bridged match"
"Glaucidium cuculoides","斑头鸺鹠","Asian Barred Owlet","Strigiformes","LC",1,"Glaucidium_cuculoides",NA,NA,NA,"Glaucidium_cuculoides",TRUE,FALSE,FALSE,"Exact match"
"Ketupa flavipes","黄腿渔鸮","Tawny Fish-owl","Strigiformes","LC",1,"Ketupa_flavipes",NA,NA,NA,"Ketupa_flavipes",TRUE,FALSE,FALSE,"Exact match"
"Ninox japonica","日本鹰鸮","Northern Boobook","Strigiformes","LC",1,"Ninox_japonica",NA,NA,NA,"Ninox_japonica",TRUE,FALSE,FALSE,"Exact match"
"Otus lettia","领角鸮","Collared Scops-owl","Strigiformes","LC",1,"Otus_lettia",NA,NA,NA,"Otus_lettia",TRUE,FALSE,FALSE,"Exact match"
"Otus spilocephalus","黄嘴角鸮","Mountain Scops-owl","Strigiformes","LC",1,"Otus_spilocephalus",NA,NA,NA,"Otus_spilocephalus",TRUE,FALSE,FALSE,"Exact match"
"Sula dactylatra","蓝脸鲣鸟","Blue-faced Booby","Strigiformes","LC",3,"Sula_dactylatra",NA,NA,NA,"Sula_dactylatra",TRUE,FALSE,FALSE,"Exact match"
"Tyto alba","仓鸮","Common Barn-owl","Strigiformes","LC",3,"Tyto_alba",NA,NA,NA,"Tyto_alba",TRUE,FALSE,FALSE,"Exact match"
"Tyto longimembris","草鸮","Eastern Grass-owl","Strigiformes","LC",1,"Tyto_longimembris",NA,NA,NA,"Tyto_longimembris",TRUE,FALSE,FALSE,"Exact match"
"Anhinga melanogaster","黑腹蛇鹈","Oriental Darter","Suliformes","LC",1,"Anhinga_melanogaster",NA,NA,NA,"Anhinga_melanogaster",TRUE,FALSE,FALSE,"Exact match"
"Fregata andrewsi","白腹军舰鸟","Christmas Island Frigatebird","Suliformes","VU",2,"Fregata_andrewsi",NA,NA,NA,"Fregata_andrewsi",TRUE,FALSE,FALSE,"Exact match"
"Fregata ariel","白斑军舰鸟","Lesser Frigatebird","Suliformes","LC",4,"Fregata_ariel",NA,NA,NA,"Fregata_ariel",TRUE,FALSE,FALSE,"Exact match"
"Sula granti","橙嘴鲣鸟","Nazca Booby","Suliformes","LC",1,"Sula_granti",NA,NA,NA,"Sula_granti",TRUE,FALSE,FALSE,"Exact match"
"Sula sula","红脚鲣鸟","Red-footed Booby","Suliformes","LC",4,"Sula_sula",NA,NA,NA,"Sula_sula",TRUE,FALSE,FALSE,"Exact match"
"Urile pelagicus","海鸬鹚","Pelagic Cormorant","Suliformes","LC",1,"Urile_pelagicus",NA,NA,NA,"Urile_pelagicus",TRUE,FALSE,FALSE,"Exact match"
"Harpactes wardi","红腹咬鹃","Ward's Trogon","Trogoniformes","LC",1,"Harpactes_wardi",NA,NA,NA,"Harpactes_wardi",TRUE,FALSE,FALSE,"Exact match"
