species,order,mass,migration_av,habitat_av,trophic_level_av,trophic_niche_av,lifestyle_av,centroid_latitude,centroid_longitude,migration_cn,diet_cn,range_size_provinces,iucn_pool,log_mass,migration_class,iucn_group,risk_group,trophic_group,n_new_records,new_record
Terpsiphone atrocaudata,Passeriformes,18.7,3,Forest,Carnivore,Invertivore,Insessorial,34.57,132.24,SP,食虫,16,LC,1.2718416065365,Full migrant,LC,LC/NE,Carnivore,0,0
Terpsiphone incei,Passeriformes,19.23,2,Woodland,Carnivore,Invertivore,Insessorial,33.61,114.28,RSP,食虫,30,LC,1.28397928423848,Partial migrant,LC,LC/NE,Carnivore,0,0
Terpsiphone paradisi,Passeriformes,19.23,2,Woodland,Carnivore,Invertivore,Insessorial,26.34,76.61,S,食虫,2,LC,1.28397928423848,Partial migrant,LC,LC/NE,Carnivore,0,0
Tesia cyaniventer,Passeriformes,9.7,1,Forest,Carnivore,Invertivore,Generalist,23.81,100.06,R,杂食性,3,LC,0.986771734266245,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Tesia olivea,Passeriformes,7,1,Forest,Carnivore,Invertivore,Terrestrial,25.16,100.72,R,杂食性,5,LC,0.845098040014257,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Tichodroma muraria,Passeriformes,17.6,2,Rock,Carnivore,Invertivore,Insessorial,37.22,78.71,RSW,食虫,25,LC,1.24551266781415,Partial migrant,LC,LC/NE,Carnivore,0,0
Tickellia hodgsoni,Passeriformes,4.5,2,Forest,Carnivore,Invertivore,Insessorial,25.2,97.43,R,食虫,3,LC,0.653212513775344,Partial migrant,LC,LC/NE,Carnivore,0,0
Trochalopteron affine,Passeriformes,72.66,1,Shrubland,Carnivore,Invertivore,Generalist,27.77,98.41,R,杂食性,5,LC,1.8612953935267,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Trochalopteron chrysopterum,Passeriformes,71.7,1,Woodland,Omnivore,Invertivore,Generalist,25.09,96.25,NA,NA,NA,LC,1.8555191556678,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Trochalopteron elliotii,Passeriformes,45,1,Forest,Carnivore,Invertivore,Generalist,33.04,103.87,R,杂食性,11,LC,1.65321251377534,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Trochalopteron erythrocephalum,Passeriformes,71.7,1,Woodland,Omnivore,Invertivore,Insessorial,28.77,86.19,R,杂食性,2,LC,1.8555191556678,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Trochalopteron formosum,Passeriformes,94.5,1,Forest,Carnivore,Invertivore,Generalist,28.13,103.76,R,杂食性,2,LC,1.97543180850926,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Trochalopteron henrici,Passeriformes,65,1,Shrubland,Carnivore,Invertivore,Terrestrial,29.45,94.63,R,杂食性,1,LC,1.81291335664286,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Trochalopteron imbricatum,Passeriformes,40.7,1,Woodland,Carnivore,Invertivore,Terrestrial,27.34,90.78,NA,NA,NA,LC,1.60959440922522,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Trochalopteron lineatum,Passeriformes,40.7,1,Woodland,Carnivore,Invertivore,Terrestrial,33.11,73.75,R,杂食性,1,LC,1.60959440922522,Resident/low mobility,LC,LC/NE,Carnivore,0,0
Trochalopteron melanostigma,Passeriformes,71.7,1,Woodland,Omnivore,Invertivore,Generalist,20.04,100.31,NA,NA,NA,LC,1.8555191556678,Resident/low mobility,LC,LC/NE,Omnivore,0,0
Trochalopteron milnei,Passeriformes,79.5,1,Forest,Carnivore,Invertivore,Insessorial,23.86,106.09,R,杂食性,8,LC,1.90036712865647,Resident/low mobility,LC,LC/NE,Carnivore,0,0
