species,order,direction
Saxicola ferreus,Passeriformes,Northeast
Dicrurus remifer,Passeriformes,North
Elachura formosa,Passeriformes,Northwest
Erpornis zantholeuca,Passeriformes,Northwest
Melanochlora sultanea,Passeriformes,Northwest
Pteruthius rufiventer,Passeriformes,Northeast
Sitta formosa,Passeriformes,Northwest
Erythrogenys hypoleucos,Passeriformes,Northwest
Lanius sphenocercus,Passeriformes,Southwest
Gorsachius melanolophus,Pelecaniformes,Northeast
Ixobrychus cinnamomeus,Pelecaniformes,North
Ardea purpurea,Pelecaniformes,Northeast
Picus chlorolophus,Piciformes,North
Bubo nipalensis,Strigiformes,Northeast
Accipiter soloensis,Accipitriformes,Northeast
Aquila fasciata,Accipitriformes,East
Gelochelidon nilotica,Charadriiformes,East
Anous stolidus,Charadriiformes,East
Calidris subminuta,Charadriiformes,Southeast
Limnodromus semipalmatus,Charadriiformes,Southeast
Gallicrex cinerea,Gruiformes,Northeast
Aegithalos concinnus,Passeriformes,North
Phoenicurus erythronotus,Passeriformes,Southeast
Tarsiger chrysaeus,Passeriformes,East
Pericrocotus divaricatus,Passeriformes,Southwest
Spizixos semitorques,Passeriformes,North
Acrocephalus tangorum,Passeriformes,Southwest
Ficedula superciliaris,Passeriformes,East
Hypothymis azurea,Passeriformes,Northeast
Larvivora brunnea,Passeriformes,East
Pitta nympha,Passeriformes,Northeast
Panurus biarmicus,Passeriformes,East
Cyornis glaucicomans,Passeriformes,Northeast
Aegithalos caudatus,Passeriformes,East
Pomatorhinus superciliaris,Passeriformes,West
Turdus boulboul,Passeriformes,Northwest
Pycnonotus goiavier,Passeriformes,Northwest
Tephrodornis virgatus,Passeriformes,Northeast
Ixobrychus minutus,Pelecaniformes,East
Harpactes wardi,Trogoniformes,West
Circaetus gallicus,Accipitriformes,East
Aquila heliaca,Accipitriformes,East
Gyps tenuirostris,Accipitriformes,East
Dendrocygna javanica,Anseriformes,Northeast
Melanitta fusca,Anseriformes,Southeast
Chlidonias niger,Charadriiformes,East
Calidris falcinellus,Charadriiformes,Southeast
