new_record_species,new_record_order,record_count_new_record,first_year,provinces_recorded,matched_species,match_status,match_type,taxonomy_source,review_flag,avibase_ioc_review,birdlife_review,candidate_species,note,model_ready
Curruca crassirostris,Passeriformes,1,2016,Tibet,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Curruca curruca,Passeriformes,2,2022,Guizhou | Hainan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Cutia nipalensis,Passeriformes,1,2001,Hubei,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Aethopyga nipalensis koelzi | Carpodacus nipalensis nipalensis | Certhia nipalensis | Cutia nipalensis nipalensis | Paradoxornis nipalensis poliotis,same epithet Aethopyga nipalensis koelzi | Carpodacus nipalensis nipalensis | Certhia nipalensis | Cutia nipalensis nipalensis | Paradoxornis nipalensis poliotis,FALSE
Cyanistes cyanus,Passeriformes,1,2023,Jilin,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Cyanoderma pyrrhops,Passeriformes,1,2010,Tibet,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Cyanoderma rufifrons,NA,1,2006,Guangxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Cyornis glaucicomans,Passeriformes,3,2020,Henan | Jiangsu | Shanxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Cyornis hainanus,Passeriformes,1,2023,Sichuan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Cyornis rubeculoides,Passeriformes,1,2010,Hunan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,,NA,FALSE
Dicaeum cruentatum,Passeriformes,1,2011,Jiangxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Dicaeum ignipectus ignipectus | Dicaeum melanozanthum,same genus Dicaeum ignipectus ignipectus | Dicaeum melanozanthum,FALSE
Dicaeum minullum,Passeriformes,1,2011,Jiangxi,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Dicaeum ignipectus ignipectus | Dicaeum melanozanthum,same genus Dicaeum ignipectus ignipectus | Dicaeum melanozanthum,FALSE
Dicrurus annectens,Passeriformes,1,2015,Tibet,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Dicrurus paradiseus | Dicrurus remifer | Dicrurus leucophaeus hopwoodi | Dicrurus macrocercus cathoecus,same genus Dicrurus paradiseus | Dicrurus remifer | Dicrurus leucophaeus hopwoodi | Dicrurus macrocercus cathoecus,FALSE
Dicrurus hottentottus,Passeriformes,3,2006,Hainan | Heilongjiang | Qinghai,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Dicrurus paradiseus | Dicrurus remifer | Dicrurus leucophaeus hopwoodi | Dicrurus macrocercus cathoecus,same genus Dicrurus paradiseus | Dicrurus remifer | Dicrurus leucophaeus hopwoodi | Dicrurus macrocercus cathoecus,FALSE
Egretta garzetta,Pelecaniformes,1,2015,Tibet,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Egretta eulophotes | Egretta sacra,same genus Egretta eulophotes | Egretta sacra,FALSE
Egretta picata,Pelecaniformes,1,2025,Jiangsu,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Egretta eulophotes | Egretta sacra,same genus Egretta eulophotes | Egretta sacra,FALSE
Emberiza buchanani,Passeriformes,1,2017,Qinghai,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Emberiza sulphurata | Emberiza pusilla | Emberiza elegans elegantula | Emberiza cia yunnanensis | Emberiza fucata arcuata,same genus Emberiza sulphurata | Emberiza pusilla | Emberiza elegans elegantula | Emberiza cia yunnanensis | Emberiza fucata arcuata,FALSE
Emberiza chrysophrys,Passeriformes,2,2021,Gansu,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Emberiza sulphurata | Emberiza pusilla | Emberiza elegans elegantula | Emberiza cia yunnanensis | Emberiza fucata arcuata,same genus Emberiza sulphurata | Emberiza pusilla | Emberiza elegans elegantula | Emberiza cia yunnanensis | Emberiza fucata arcuata,FALSE
Emberiza citrinella,Passeriformes,1,2017,Qinghai,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Emberiza sulphurata | Emberiza pusilla | Emberiza elegans elegantula | Emberiza cia yunnanensis | Emberiza fucata arcuata,same genus Emberiza sulphurata | Emberiza pusilla | Emberiza elegans elegantula | Emberiza cia yunnanensis | Emberiza fucata arcuata,FALSE
Emberiza godlewskii,Passeriformes,2,2010,Heilongjiang | Hunan,NA,unmatched,unmatched,Pending Avibase/IOC + BirdLife review,review_needed,pending,pending,Emberiza sulphurata | Emberiza pusilla | Emberiza elegans elegantula | Emberiza cia yunnanensis | Emberiza fucata arcuata,same genus Emberiza sulphurata | Emberiza pusilla | Emberiza elegans elegantula | Emberiza cia yunnanensis | Emberiza fucata arcuata,FALSE
