"order","province","n_records","x_order","y_order","x_province","y_province","edge_color"
"Charadriiformes","Yunnan",20,-0.136166649096246,0.990685946036331,0.0950560433041828,-0.995471922573085,"#F28C57"
"Charadriiformes","Zhejiang",7,-0.136166649096246,0.990685946036331,0.755749574354258,-0.654860733945285,"#F28C57"
"Ciconiiformes","Gansu",1,-0.94226092211882,-0.334879612170986,0.371662455660328,-0.928367933016073,"#A1D492"
"Ciconiiformes","Hebei",1,-0.94226092211882,-0.334879612170986,0.45822652172741,0.888835448654923,"#A1D492"
"Ciconiiformes","Hunan",1,-0.94226092211882,-0.334879612170986,0.18925124436041,-0.981928697262707,"#A1D492"
"Ciconiiformes","Ningxia",1,-0.94226092211882,-0.334879612170986,0.814575952050336,0.580056909571198,"#A1D492"
"Ciconiiformes","Qinghai",1,-0.94226092211882,-0.334879612170986,0.989821441880933,0.142314838273285,"#A1D492"
"Ciconiiformes","Shaanxi",1,-0.94226092211882,-0.334879612170986,0.28173255684143,-0.959492973614497,"#A1D492"
"Ciconiiformes","Sichuan",1,-0.94226092211882,-0.334879612170986,0.971811568323542,-0.235758935509427,"#A1D492"
"Ciconiiformes","Tianjin",1,-0.94226092211882,-0.334879612170986,0.909631995354518,0.415415013001886,"#A1D492"
"Ciconiiformes","Tibet",1,-0.94226092211882,-0.334879612170986,6.12323399573677e-17,-1,"#A1D492"
"Ciconiiformes","Yunnan",2,-0.94226092211882,-0.334879612170986,0.0950560433041828,-0.995471922573085,"#A1D492"
"Columbiformes","Anhui",1,-0.730835964278124,0.682553143218654,0.540640817455598,-0.841253532831181,"#B0B0B0"
"Columbiformes","Gansu",2,-0.730835964278124,0.682553143218654,0.371662455660328,-0.928367933016073,"#B0B0B0"
"Columbiformes","Guangdong",2,-0.730835964278124,0.682553143218654,0.540640817455598,0.841253532831181,"#B0B0B0"
"Columbiformes","Heilongjiang",1,-0.730835964278124,0.682553143218654,0.755749574354258,0.654860733945285,"#B0B0B0"
