"species","order","n_new_records","new_record","mass","migration_av","trophic_level_av","centroid_latitude","centroid_longitude","migration_cn","range_size_provinces","iucn_pool","log_mass","migration_class","iucn_group","risk_group","z_log_mass","z_range_size"
"Delichon urbicum","Passeriformes",0,0,14.5,"3","Carnivore",51.81,42.81,"SPV",22,"LC",1.16136800223497,"Full migrant","LC","LC/NE",-0.936376090907642,0.92103637203926
"Hirundo rustica","Passeriformes",1,1,17.91,"3","Carnivore",47.56,34.57,"RSWP",34,"LC",1.25309558584903,"Full migrant","LC","LC/NE",-0.814643848754598,1.98639267211624
"Hirundo smithii","Passeriformes",1,1,12.4,"2","Carnivore",6.49,41.98,"R",1,"LC",1.09342168516224,"Partial migrant","LC","LC/NE",-1.02654806750857,-0.943337153095455
"Hirundo tahitica","Passeriformes",0,0,17.8,"2","Carnivore",-17.66,-149.46,"RS",1,"LC",1.25042000230889,"Partial migrant","LC","LC/NE",-0.818194632178471,-0.943337153095455
"Petrochelidon fluvicola","Passeriformes",0,0,9.7,"2","Carnivore",24.62,77.59,"V",1,"LC",0.986771734266245,"Partial migrant","LC","LC/NE",-1.16808387534916,-0.943337153095455
"Ptyonoprogne concolor","Passeriformes",0,0,12.96,"2","Carnivore",20.87,82.26,"R",3,"LC",1.11260500153457,"Partial migrant","LC","LC/NE",-1.00108976999403,-0.765777769749292
"Ptyonoprogne rupestris","Passeriformes",2,1,20.4,"2","Carnivore",37.85,68.44,"RS",13,"LC",1.3096301674259,"Partial migrant","LC","LC/NE",-0.739616456738119,0.122019146981525
"Riparia diluta","Passeriformes",0,0,15.2,"3","Carnivore",43.84,99.44,"RSW",16,"LC",1.18184358794477,"Full migrant","LC","LC/NE",-0.909202814782351,0.38835822200077
"Riparia riparia","Passeriformes",1,1,12.68,"3","Carnivore",54.72,29.5,"SP",30,"LC",1.10311925354571,"Full migrant","LC","LC/NE",-1.01367836467501,1.63127390542391
"Irena puella","Passeriformes",0,0,64.9,"1","Herbivore",11.14,102.08,"R",3,"LC",1.81224469680037,"Resident/low mobility","LC","LC/NE",-0.072593613785183,-0.765777769749292
"Lanius bucephalus","Passeriformes",0,0,39.42,"3","Carnivore",40.1,127.06,"RSWP",29,"LC",1.59571661994342,"Full migrant","LC","LC/NE",-0.359949360512204,1.54249421375083
"Lanius collurio","Passeriformes",0,0,28.44,"3","Carnivore",52.82,41.84,"PV",3,"LC",1.45392959205773,"Full migrant","LC","LC/NE",-0.548115800013799,-0.765777769749292
"Lanius collurioides","Passeriformes",1,1,26,"2","Carnivore",21.75,102.66,"R",5,"LC",1.41497334797082,"Partial migrant","LC","LC/NE",-0.599814871892917,-0.588218386403129
"Lanius cristatus","Passeriformes",0,0,32.18,"3","Carnivore",55.16,120.12,"SWP",31,"LC",1.50758603976301,"Full migrant","LC","LC/NE",-0.476907997215748,1.720053597097
"Lanius excubitor","Passeriformes",0,0,63.41,"3","Carnivore",40.81,42.37,"SWP",11,"LC",1.80215775318696,"Full migrant","LC","LC/NE",-0.0859800588887396,-0.0555402363646385
"Lanius isabellinus","Passeriformes",1,1,25.2,"3","Carnivore",43.37,101.27,"SP",6,"LC",1.40140054078154,"Full migrant","LC","LC/NE",-0.61782742805501,-0.499438694730047
"Lanius minor","Passeriformes",0,0,46.49,"3","Carnivore",47.12,49.2,"S",1,"LC",1.66735954618309,"Full migrant","LC","LC/NE",-0.264871591078596,-0.943337153095455
"Lanius phoenicuroides","Passeriformes",0,0,28,"3","Carnivore",40.84,68.2,"S",2,"LC",1.44715803134222,"Full migrant","LC","LC/NE",-0.557102380018378,-0.854557461422374
"Lanius schach","Passeriformes",3,1,51.51,"2","Carnivore",23.44,92.75,"RS",27,"LC",1.71189154988058,"Partial migrant","LC","LC/NE",-0.205772894219077,1.36493483040467
"Lanius sphenocercus","Passeriformes",1,1,92.1,"2","Carnivore",44.15,121.02,"RSWP",27,"LC",1.96425963019685,"Partial migrant","LC","LC/NE",0.12914634222368,1.36493483040467
"Lanius tephronotus","Passeriformes",2,1,46.35,"3","Carnivore",31.55,98.62,"RSP",15,"LC",1.66604973848052,"Full migrant","LC","LC/NE",-0.266609844961901,0.299578530327688
"Lanius tigrinus","Passeriformes",0,0,30.14,"3","Carnivore",36.94,119.92,"SWP",31,"LC",1.47914324797861,"Full migrant","LC","LC/NE",-0.514654601678533,1.720053597097
"Actinodura egertoni","Passeriformes",0,0,36,"1","Omnivore",26.14,93.02,"R",2,"LC",1.55630250076729,"Resident/low mobility","LC","LC/NE",-0.412256081247222,-0.854557461422374
"Actinodura ramsayi","Passeriformes",0,0,38.4,"2","Carnivore",19.23,98.04,"R",3,"LC",1.58433122436753,"Partial migrant","LC","LC/NE",-0.375058989226336,-0.765777769749292
"Cutia nipalensis","Passeriformes",1,1,47.15,"1","Carnivore",23.81,95.91,"R",4,"LC",1.67348169707335,"Resident/low mobility","LC","LC/NE",-0.25674684685982,-0.67699807807621
"Garrulax canorus","Passeriformes",1,1,62.78,"1","Carnivore",27.21,110.37,"R",19,"LC",1.79782131136402,"Resident/low mobility","LC","LC/NE",-0.0917349775868439,0.654697297020015
"Garrulax castanotis","Passeriformes",0,0,97.5,"1","Carnivore",18.78,105.34,"R",1,"LC",1.98900461569854,"Resident/low mobility","LC","LC/NE",0.161985565154038,-0.943337153095455
"Garrulax leucolophus","Passeriformes",0,0,123.44,"1","Carnivore",20.08,99.33,"R",2,"LC",2.09145591305509,"Resident/low mobility","LC","LC/NE",0.297949313977684,-0.854557461422374
"Garrulax maesi","Passeriformes",1,1,112.5,"1","Carnivore",25.73,107.43,"R",4,"LC",2.05115252244738,"Resident/low mobility","LC","LC/NE",0.244462435639218,-0.67699807807621
"Garrulax merulinus","Passeriformes",0,0,78.8,"1","Carnivore",23.45,98.33,"R",1,"LC",1.89652621748956,"Resident/low mobility","LC","LC/NE",0.0392569123197097,-0.943337153095455
"Garrulax monileger","Passeriformes",3,1,83.7,"1","Carnivore",21.73,103.79,"R",12,"LC",1.92272545799326,"Resident/low mobility","LC","LC/NE",0.0740260860356743,0.0332394553084432
"Garrulax strepitans","Passeriformes",0,0,131.5,"1","Carnivore",18.98,99.74,"R",1,"LC",2.11892575282578,"Resident/low mobility","LC","LC/NE",0.334404707820174,-0.943337153095455
"Garrulax taewanus","Passeriformes",0,0,62.78,"1","Carnivore",23.8,121.08,"R",1,"NT",1.79782131136402,"Resident/low mobility","NT","NT",-0.0917349775868439,-0.943337153095455
"Grammatoptila striata","Passeriformes",0,0,92,"1","Omnivore",28.36,88.62,"R",3,"LC",1.96378782734556,"Resident/low mobility","LC","LC/NE",0.128520209748809,-0.765777769749292
"Heterophasia auricularis","Passeriformes",0,0,41.78,"1","Herbivore",23.78,121.12,"R",1,"LC",1.62096843564429,"Resident/low mobility","LC","LC/NE",-0.326437520097488,-0.943337153095455
"Heterophasia capistrata","Passeriformes",0,0,39.4,"1","Herbivore",29.41,83.15,"R",2,"LC",1.59549622182557,"Resident/low mobility","LC","LC/NE",-0.360241852214211,-0.854557461422374
"Heterophasia desgodinsi","Passeriformes",2,1,31,"1","Omnivore",24.78,104.37,"R",7,"LC",1.49136169383427,"Resident/low mobility","LC","LC/NE",-0.498439426798389,-0.410659003056965
"Heterophasia gracilis","Passeriformes",0,0,37.78,"1","Carnivore",25.39,95.87,"R",1,"LC",1.57726195358581,"Resident/low mobility","LC","LC/NE",-0.384440662096583,-0.943337153095455
"Heterophasia picaoides","Passeriformes",0,0,42.4,"1","Herbivore",17.99,98.62,"R",2,"LC",1.62736585659273,"Resident/low mobility","LC","LC/NE",-0.317947463286142,-0.854557461422374
"Heterophasia pulchella","Passeriformes",0,0,40.55,"1","Omnivore",26.95,97.03,"R",2,"LC",1.60799085854717,"Resident/low mobility","LC","LC/NE",-0.34366014273184,-0.854557461422374
"Leioptila annectens","Passeriformes",0,0,24.5,"1","Carnivore",22.58,97.62,"R",3,"LC",1.38916608436453,"Resident/low mobility","LC","LC/NE",-0.634063850649906,-0.765777769749292
"Leiothrix argentauris","Passeriformes",0,0,28.4,"1","Carnivore",22.64,98.65,"R",4,"LC",1.45331834004704,"Resident/low mobility","LC","LC/NE",-0.548926996328476,-0.67699807807621
"Leiothrix lutea","Passeriformes",0,0,21.39,"1","Carnivore",28.75,107.8,"R",18,"LC",1.33021078457153,"Resident/low mobility","LC","LC/NE",-0.712303792746315,0.565917605346933
"Liocichla bugunorum","Passeriformes",0,0,40,"1","Omnivore",27.11,92.44,"R",1,"CR",1.60205999132796,"Resident/low mobility","Threatened","Threatened/DD",-0.351531033210591,-0.943337153095455
"Liocichla omeiensis","Passeriformes",0,0,40.4,"2","Omnivore",28.73,103.55,"R",2,"VU",1.6063813651106,"Partial migrant","Threatened","Threatened/DD",-0.345796111401729,-0.854557461422374
"Liocichla phoenicea","Passeriformes",0,0,49,"1","Omnivore",26.27,94.63,"R",1,"LC",1.69019608002851,"Resident/low mobility","LC","LC/NE",-0.234565086115986,-0.943337153095455
"Liocichla ripponi","Passeriformes",0,0,49,"1","Omnivore",21.87,99.76,"R",1,"LC",1.69019608002851,"Resident/low mobility","LC","LC/NE",-0.234565086115986,-0.943337153095455
"Liocichla steerii","Passeriformes",0,0,31.38,"1","Omnivore",23.84,121.1,"R",1,"LC",1.49665293925092,"Resident/low mobility","LC","LC/NE",-0.491417382360149,-0.943337153095455
"Minla ignotincta","Passeriformes",0,0,14.3,"1","Carnivore",26.14,100.77,"R",8,"LC",1.15533603746506,"Resident/low mobility","LC","LC/NE",-0.944381148569678,-0.321879311383884
"Trochalopteron affine","Passeriformes",0,0,72.66,"1","Carnivore",27.77,98.41,"R",5,"LC",1.8612953935267,"Resident/low mobility","LC","LC/NE",-0.00749813152776456,-0.588218386403129
"Trochalopteron elliotii","Passeriformes",0,0,45,"1","Carnivore",33.04,103.87,"R",11,"LC",1.65321251377534,"Resident/low mobility","LC","LC/NE",-0.283646205070962,-0.0555402363646385
"Trochalopteron erythrocephalum","Passeriformes",0,0,71.7,"1","Omnivore",28.77,86.19,"R",2,"LC",1.8555191556678,"Resident/low mobility","LC","LC/NE",-0.0151638124284104,-0.854557461422374
"Trochalopteron formosum","Passeriformes",0,0,94.5,"1","Carnivore",28.13,103.76,"R",2,"LC",1.97543180850926,"Resident/low mobility","LC","LC/NE",0.143973008991945,-0.854557461422374
"Trochalopteron henrici","Passeriformes",0,0,65,"1","Carnivore",29.45,94.63,"R",1,"LC",1.81291335664286,"Resident/low mobility","LC","LC/NE",-0.0717062311827369,-0.943337153095455
"Trochalopteron lineatum","Passeriformes",0,0,40.7,"1","Carnivore",33.11,73.75,"R",1,"LC",1.60959440922522,"Resident/low mobility","LC","LC/NE",-0.341532060733454,-0.943337153095455
"Trochalopteron milnei","Passeriformes",0,0,79.5,"1","Carnivore",23.86,106.09,"R",8,"LC",1.90036712865647,"Resident/low mobility","LC","LC/NE",0.0443542092268918,-0.321879311383884
"Trochalopteron morrisonianum","Passeriformes",0,0,73.1,"1","Omnivore",23.82,121.12,"R",1,"LC",1.86391737695786,"Resident/low mobility","LC","LC/NE",-0.00401848113921013,-0.943337153095455
"Trochalopteron squamatum","Passeriformes",0,0,83.99,"1","Omnivore",24.91,96.01,"R",1,"LC",1.92422758126012,"Resident/low mobility","LC","LC/NE",0.0760195630908883,-0.943337153095455
"Trochalopteron subunicolor","Passeriformes",0,0,65.93,"1","Carnivore",25.84,96.49,"R",2,"LC",1.8190830757437,"Resident/low mobility","LC","LC/NE",-0.0635183588982053,-0.854557461422374
"Locustella alishanensis","Passeriformes",0,0,10,"1","Carnivore",23.76,121.11,"R",1,"LC",1,"Resident/low mobility","LC","LC/NE",-1.15052856227843,-0.943337153095455
"Locustella chengi","Passeriformes",0,0,10,"2","Carnivore",30.41,106.23,"S",6,"LC",1,"Partial migrant","LC","LC/NE",-1.15052856227843,-0.499438694730047
"Locustella davidi","Passeriformes",2,1,10,"3","Carnivore",49.15,120.27,"SV",10,"LC",1,"Full migrant","LC","LC/NE",-1.15052856227843,-0.14431992803772
"Locustella lanceolata","Passeriformes",0,0,10.6,"3","Carnivore",57.51,111.96,"SP",22,"LC",1.02530586526477,"Full migrant","LC","LC/NE",-1.11694499235398,0.92103637203926
"Locustella luscinioides","Passeriformes",0,0,13.89,"3","Carnivore",47.96,39.14,"SP",2,"LC",1.14270224573762,"Full migrant","LC","LC/NE",-0.961147531518862,-0.854557461422374
"Locustella luteoventris","Passeriformes",0,0,13.2,"2","Carnivore",24.82,105.55,"R",19,"LC",1.12057393120585,"Partial migrant","LC","LC/NE",-0.990514154260757,0.654697297020015
"Locustella major","Passeriformes",0,0,13.3,"2","Carnivore",35.68,76.52,"R",2,"NT",1.12385164096709,"Partial migrant","NT","NT",-0.986164285413879,-0.854557461422374
"Locustella mandelli","Passeriformes",2,1,11.3,"2","Carnivore",24.72,106.12,"R",11,"LC",1.05307844348342,"Partial migrant","LC","LC/NE",-1.08008783244937,-0.0555402363646385
"Locustella naevia","Passeriformes",0,0,13.3,"3","Carnivore",52.97,43.23,"R",2,"LC",1.12385164096709,"Full migrant","LC","LC/NE",-0.986164285413879,-0.854557461422374
"Locustella tacsanowskia","Passeriformes",0,0,14,"3","Carnivore",40.23,110.99,"SP",14,"LC",1.14612803567824,"Full migrant","LC","LC/NE",-0.956601144552299,0.210798838654607
"Locustella thoracica","Passeriformes",0,0,10.8,"1","Carnivore",30.44,100.03,"RSV",11,"LC",1.03342375548695,"Resident/low mobility","LC","LC/NE",-1.10617169015455,-0.0555402363646385
"Megalurus palustris","Passeriformes",0,0,44.1,"2","Carnivore",19.65,97.08,"R",4,"LC",1.64443858946784,"Partial migrant","LC","LC/NE",-0.295290134152617,-0.67699807807621
"Hypothymis azurea","Passeriformes",1,1,11.1,"1","Carnivore",16.05,98.4,"RWV",12,"LC",1.04532297878666,"Resident/low mobility","LC","LC/NE",-1.09038015749794,0.0332394553084432
"Terpsiphone affinis","Passeriformes",0,0,19.23,"2","Carnivore",12.37,103.2,"S",2,"LC",1.28397928423848,"Partial migrant","LC","LC/NE",-0.773657902076398,-0.854557461422374
"Terpsiphone atrocaudata","Passeriformes",0,0,18.7,"3","Carnivore",34.57,132.24,"SP",16,"LC",1.2718416065365,"Full migrant","LC","LC/NE",-0.789765889041474,0.38835822200077
"Terpsiphone incei","Passeriformes",0,0,19.23,"2","Carnivore",33.61,114.28,"RSP",30,"LC",1.28397928423848,"Partial migrant","LC","LC/NE",-0.773657902076398,1.63127390542391
"Terpsiphone paradisi","Passeriformes",0,0,19.23,"2","Carnivore",26.34,76.61,"S",2,"LC",1.28397928423848,"Partial migrant","LC","LC/NE",-0.773657902076398,-0.854557461422374
"Anthus campestris","Passeriformes",0,0,23,"3","Carnivore",45.89,51.57,"S",2,"LC",1.36172783601759,"Full migrant","LC","LC/NE",-0.670477319319031,-0.854557461422374
"Anthus cervinus","Passeriformes",0,0,20.9,"3","Carnivore",68.1,104.51,"WP",31,"LC",1.32014628611105,"Full migrant","LC","LC/NE",-0.725660450748932,1.720053597097
"Anthus godlewskii","Passeriformes",1,1,25.34,"3","Carnivore",48.72,102.13,"SPV",17,"LC",1.40380661054742,"Full migrant","LC","LC/NE",-0.614634318023796,0.477137913673852
"Anthus gustavi","Passeriformes",4,1,19.8,"3","Carnivore",65.91,119.79,"SP",19,"LC",1.29666519026153,"Full migrant","LC","LC/NE",-0.756822357923983,0.654697297020015
"Anthus hodgsoni","Passeriformes",0,0,21.3,"3","Carnivore",51.36,108.28,"SWP",34,"LC",1.32837960343874,"Full migrant","LC","LC/NE",-0.714733964525622,1.98639267211624
"Anthus pratensis","Passeriformes",1,1,18.4,"2","Carnivore",59.47,30.67,"PV",5,"LC",1.26481782300954,"Partial migrant","LC","LC/NE",-0.799087195495291,-0.588218386403129
"Anthus richardi","Passeriformes",1,1,32.17,"3","Carnivore",48.01,110.35,"SWP",33,"LC",1.50745106090197,"Full migrant","LC","LC/NE",-0.477087128495025,1.89761298044316
"Anthus roseatus","Passeriformes",1,1,20.61,"1","Carnivore",33.88,95.28,"RSV",19,"LC",1.31407799177921,"Resident/low mobility","LC","LC/NE",-0.733713721596747,0.654697297020015
"Anthus rubescens","Passeriformes",0,0,20.68,"3","Carnivore",61.56,13.05,"WP",31,"LC",1.3155505344219,"Full migrant","LC","LC/NE",-0.731759501170369,1.720053597097
"Anthus rufulus","Passeriformes",0,0,20.44,"1","Carnivore",18.8,90.02,"RP",4,"LC",1.31048089146268,"Resident/low mobility","LC","LC/NE",-0.738487455620135,-0.67699807807621
"Anthus spinoletta","Passeriformes",0,0,23.9,"3","Carnivore",45.38,74.9,"RWPV",24,"LC",1.37839790094814,"Full migrant","LC","LC/NE",-0.648354373299105,1.09859575538542
"Anthus sylvanus","Passeriformes",0,0,31,"1","Carnivore",27.03,99.02,"R",16,"LC",1.49136169383427,"Resident/low mobility","LC","LC/NE",-0.498439426798389,0.38835822200077
"Anthus trivialis","Passeriformes",1,1,23.33,"3","Omnivore",56.07,58.29,"SWP",6,"LC",1.36791473879375,"Full migrant","LC","LC/NE",-0.662266642472973,-0.499438694730047
"Dendronanthus indicus","Passeriformes",0,0,16.4,"3","Carnivore",36.72,118.98,"SWP",32,"LC",1.2148438480477,"Full migrant","LC","LC/NE",-0.86540796599548,1.80883328877008
"Motacilla alba","Passeriformes",0,0,23.93,"3","Carnivore",52.86,81.67,"RSWP",34,"LC",1.37894269861344,"Full migrant","LC","LC/NE",-0.647631368956205,1.98639267211624
"Motacilla cinerea","Passeriformes",0,0,17.15,"2","Carnivore",52.19,88.74,"SWPR",34,"LC",1.23426412437879,"Partial migrant","LC","LC/NE",-0.839635197457694,1.98639267211624
"Motacilla citreola","Passeriformes",1,1,19.11,"3","Carnivore",52.43,81.65,"SWPV",29,"LC",1.28126068705501,"Full migrant","LC","LC/NE",-0.777265769171718,1.54249421375083
"Motacilla flava","Passeriformes",0,0,17.68,"3","Carnivore",53.37,57.63,"SWPV",25,"LC",1.24748226067705,"Full migrant","LC","LC/NE",-0.8220933272233,1.18737544705851
"Motacilla grandis","Passeriformes",0,0,30.16,"1","Carnivore",37.55,137.02,"SPV",4,"LC",1.47943133719774,"Resident/low mobility","LC","LC/NE",-0.514272276698388,-0.67699807807621
"Motacilla tschutschensis","Passeriformes",0,0,18.5,"3","Carnivore",58.5,115.25,"SWPV",29,"LC",1.26717172840301,"Full migrant","LC","LC/NE",-0.795963313124534,1.54249421375083
"Anthipes monileger","Passeriformes",0,0,11,"1","Carnivore",21.81,98.73,"V",1,"LC",1.04139268515823,"Resident/low mobility","LC","LC/NE",-1.09559607442127,-0.943337153095455
"Brachypteryx hyperythra","Passeriformes",0,0,15.8,"2","Carnivore",26.49,97.27,"R",2,"NT",1.19865708695442,"Partial migrant","NT","NT",-0.886889516511088,-0.854557461422374
"Brachypteryx leucophris","Passeriformes",0,0,15.8,"2","Carnivore",21.78,103.17,"R",8,"LC",1.19865708695442,"Partial migrant","LC","LC/NE",-0.886889516511088,-0.321879311383884
"Calliope calliope","Passeriformes",0,0,18.5,"3","Carnivore",57.27,112.34,"SWP",33,"LC",1.26717172840301,"Full migrant","LC","LC/NE",-0.795963313124534,1.89761298044316
"Calliope obscura","Passeriformes",1,1,19.6,"2","Carnivore",33.49,104.89,"SP",4,"VU",1.29225607135648,"Partial migrant","Threatened","Threatened/DD",-0.762673726826166,-0.67699807807621
"Calliope pectardens","Passeriformes",0,0,14.5,"3","Carnivore",32.13,101.52,"SW",5,"NT",1.16136800223497,"Full migrant","NT","NT",-0.936376090907642,-0.588218386403129
"Calliope pectoralis","Passeriformes",0,0,23.27,"2","Carnivore",34.82,92.29,"S",2,"LC",1.36679638328673,"Partial migrant","LC","LC/NE",-0.663750818966348,-0.854557461422374
"Calliope tschebaiewi","Passeriformes",0,0,23.27,"2","Carnivore",32.75,95.48,"SV",6,"LC",1.36679638328673,"Partial migrant","LC","LC/NE",-0.663750818966348,-0.499438694730047
"Cercotrichas galactotes","Passeriformes",0,0,20.3,"3","Omnivore",28.41,35.3,"S",1,"LC",1.30749603791321,"Full migrant","LC","LC/NE",-0.74244867318151,-0.943337153095455
"Cinclidium frontale","Passeriformes",0,0,25.4,"2","Carnivore",22.24,100.31,"R",2,"LC",1.40483371661994,"Partial migrant","LC","LC/NE",-0.613271239217944,-0.854557461422374
"Copsychus saularis","Passeriformes",1,1,36,"1","Carnivore",19.34,97.13,"R",21,"LC",1.55630250076729,"Resident/low mobility","LC","LC/NE",-0.412256081247222,0.832256680366178
"Cyanoptila cumatilis","Passeriformes",0,0,22.5,"3","Carnivore",35.02,110.41,"PS",17,"NT",1.35218251811136,"Full migrant","NT","NT",-0.683144969604882,0.477137913673852
"Cyanoptila cyanomelana","Passeriformes",0,0,22.5,"3","Carnivore",42.15,129.93,"SWP",15,"LC",1.35218251811136,"Full migrant","LC","LC/NE",-0.683144969604882,0.299578530327688
"Cyornis brunneatus","Passeriformes",0,0,18.1,"3","Carnivore",26.7,114.79,"S",15,"VU",1.25767857486918,"Full migrant","Threatened","Threatened/DD",-0.808561735749929,0.299578530327688
"Cyornis concretus","Passeriformes",0,0,24.5,"2","Carnivore",11.13,105.04,"W",1,"LC",1.38916608436453,"Partial migrant","LC","LC/NE",-0.634063850649906,-0.943337153095455
"Cyornis glaucicomans","Passeriformes",3,1,14.2,"1","Carnivore",28.78,106.49,"S",10,"LC",1.15228834438306,"Resident/low mobility","LC","LC/NE",-0.948425760862397,-0.14431992803772
"Cyornis hainanus","Passeriformes",1,1,14.4,"2","Carnivore",18.37,104.17,"RSV",8,"LC",1.15836249209525,"Partial migrant","LC","LC/NE",-0.940364721957402,-0.321879311383884
"Cyornis poliogenys","Passeriformes",1,1,16.21,"1","Carnivore",24.84,92.96,"R",4,"LC",1.20978301484851,"Resident/low mobility","LC","LC/NE",-0.872124228958333,-0.67699807807621
"Cyornis rubeculoides","Passeriformes",1,1,14.2,"1","Carnivore",23.56,94.08,"S",2,"LC",1.15228834438306,"Resident/low mobility","LC","LC/NE",-0.948425760862397,-0.854557461422374
"Cyornis unicolor","Passeriformes",0,0,21,"1","Carnivore",16.34,103.27,"RS",4,"LC",1.32221929473392,"Resident/low mobility","LC","LC/NE",-0.722909348215524,-0.67699807807621
"Enicurus immaculatus","Passeriformes",0,0,25.5,"2","Carnivore",23.98,94.64,"R",2,"LC",1.40654018043396,"Partial migrant","LC","LC/NE",-0.611006580561859,-0.854557461422374
"Enicurus leschenaulti","Passeriformes",1,1,33.8,"1","Carnivore",19.16,105.94,"R",22,"LC",1.52891670027765,"Resident/low mobility","LC","LC/NE",-0.448599946041323,0.92103637203926
"Enicurus maculatus","Passeriformes",2,1,40.39,"1","Carnivore",25.59,100.85,"R",8,"LC",1.60627385316999,"Resident/low mobility","LC","LC/NE",-0.345938791161446,-0.321879311383884
"Enicurus schistaceus","Passeriformes",1,1,31,"1","Carnivore",23.27,103.26,"R",13,"LC",1.49136169383427,"Resident/low mobility","LC","LC/NE",-0.498439426798389,0.122019146981525
"Enicurus scouleri","Passeriformes",0,0,17.8,"1","Carnivore",28.71,101.8,"R",15,"LC",1.25042000230889,"Resident/low mobility","LC","LC/NE",-0.818194632178471,0.299578530327688
"Erithacus rubecula","Passeriformes",4,1,17.7,"3","Carnivore",53.82,30.86,"RV",3,"LC",1.24797326636181,"Full migrant","LC","LC/NE",-0.821441710549669,-0.765777769749292
"Eumyias thalassinus","Passeriformes",6,1,18.1,"1","Carnivore",17.79,104.13,"SWPV",19,"LC",1.25767857486918,"Resident/low mobility","LC","LC/NE",-0.808561735749929,0.654697297020015
"Ficedula albicilla","Passeriformes",1,1,10.8,"3","Carnivore",59.73,113.81,"SWPV",34,"LC",1.03342375548695,"Full migrant","LC","LC/NE",-1.10617169015455,1.98639267211624
"Ficedula elisae","Passeriformes",3,1,13.1,"3","Carnivore",39.35,114.86,"SPW",11,"LC",1.11727129565576,"Full migrant","LC","LC/NE",-0.994897102275804,-0.0555402363646385
"Ficedula hodgsoni","Passeriformes",0,0,10,"1","Carnivore",16.54,100.31,"S",2,"LC",1,"Resident/low mobility","LC","LC/NE",-1.15052856227843,-0.854557461422374
"Ficedula hyperythra","Passeriformes",3,1,8.2,"1","Carnivore",18.22,103.41,"RS",10,"LC",0.913813852383717,"Resident/low mobility","LC","LC/NE",-1.2649067305294,-0.14431992803772
"Ficedula hypoleuca","Passeriformes",1,1,13.79,"3","Carnivore",57.07,38.09,"P",1,"LC",1.13956426617585,"Full migrant","LC","LC/NE",-0.965311963555919,-0.943337153095455
"Ficedula mugimaki","Passeriformes",1,1,11.7,"3","Carnivore",52,115.26,"SWP",26,"LC",1.06818586174616,"Full migrant","LC","LC/NE",-1.06003868446347,1.27615513873159
"Ficedula narcissina","Passeriformes",3,1,13.1,"3","Carnivore",40.79,138.04,"WP",15,"LC",1.11727129565576,"Full migrant","LC","LC/NE",-0.994897102275804,0.299578530327688
"Ficedula owstoni","Passeriformes",1,1,13.1,"3","Carnivore",27.58,128.39,"V",3,"LC",1.11727129565576,"Full migrant","LC","LC/NE",-0.994897102275804,-0.765777769749292
"Ficedula parva","Passeriformes",4,1,10.8,"3","Carnivore",54,34.95,"VW",8,"LC",1.03342375548695,"Full migrant","LC","LC/NE",-1.10617169015455,-0.321879311383884
"Ficedula ruficauda","Passeriformes",1,1,13.3,"3","Carnivore",34.64,74.4,"V",1,"LC",1.12385164096709,"Full migrant","LC","LC/NE",-0.986164285413879,-0.943337153095455
"Ficedula sapphira","Passeriformes",0,0,7.8,"3","Carnivore",26.1,101.77,"RS",3,"LC",0.89209460269048,"Full migrant","LC","LC/NE",-1.29373048080024,-0.765777769749292
"Ficedula strophiata","Passeriformes",1,1,12.84,"1","Carnivore",27.77,100.87,"SWPV",14,"LC",1.10856502373283,"Resident/low mobility","LC","LC/NE",-1.00645124946049,0.210798838654607
"Ficedula superciliaris","Passeriformes",1,1,8,"2","Carnivore",29.59,90.11,"SW",4,"LC",0.903089986991944,"Partial migrant","LC","LC/NE",-1.27913843845469,-0.67699807807621
"Ficedula tricolor","Passeriformes",3,1,8.26,"1","Carnivore",27.55,99.72,"SP",11,"LC",0.916980047320382,"Resident/low mobility","LC","LC/NE",-1.26070485369423,-0.0555402363646385
"Ficedula westermanni","Passeriformes",0,0,7.8,"1","Carnivore",13.42,104.97,"S",4,"LC",0.89209460269048,"Resident/low mobility","LC","LC/NE",-1.29373048080024,-0.67699807807621
"Ficedula zanthopygia","Passeriformes",0,0,12.11,"3","Carnivore",44.34,123.98,"SPV",31,"LC",1.08314414314305,"Full migrant","LC","LC/NE",-1.04018745693238,1.720053597097
"Heteroxenicus stellatus","Passeriformes",1,1,23,"2","Omnivore",27.81,96.21,"R",2,"LC",1.36172783601759,"Partial migrant","LC","LC/NE",-0.670477319319031,-0.854557461422374
"Larvivora akahige","Passeriformes",2,1,17,"1","Carnivore",40.11,140.24,"WPV",12,"LC",1.23044892137827,"Resident/low mobility","LC","LC/NE",-0.844698376898634,0.0332394553084432
"Larvivora brunnea","Passeriformes",1,1,17.5,"3","Carnivore",30.68,92.71,"S",5,"LC",1.24303804868629,"Full migrant","LC","LC/NE",-0.827991268376039,-0.588218386403129
"Larvivora cyane","Passeriformes",2,1,14.8,"3","Carnivore",53.95,117.4,"SWP",32,"LC",1.17026171539496,"Full migrant","LC","LC/NE",-0.924573189300793,1.80883328877008
"Larvivora komadori","Passeriformes",0,0,23.9,"1","Carnivore",29.19,129.91,"V",1,"NT",1.37839790094814,"Resident/low mobility","NT","NT",-0.648354373299105,-0.943337153095455
"Larvivora ruficeps","Passeriformes",0,0,18,"3","Carnivore",33.71,105.34,"R",3,"EN",1.25527250510331,"Full migrant","Threatened","Threatened/DD",-0.811754845781142,-0.765777769749292
