"record_id","species","order_raw","order_cn","province_cn","province_en_raw","year","discover_cause_raw","discovery_method_raw","longitude","latitude","order","province","discover_reason"
747,"Pellorneum tickelli","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2006,"分布变化","标本采集",106.88,22.35,"Passeriformes","Guangxi","Range shift or distribution change"
713,"Suthora alphonsiana","PASSERIFORMES","雀形目","广西壮族自治区","Guangxi",2006,"分布变化","标本采集",105.09383,24.48957,"Passeriformes","Guangxi","Range shift or distribution change"
535,"Chloris sinica","PASSERIFORMES","雀形目","海南省","Hainan",2006,"分布变化","观察",109.7,19.9,"Passeriformes","Hainan","Range shift or distribution change"
488,"Dicrurus hottentottus","PASSERIFORMES","雀形目","海南省","Hainan",2006,"分布变化","观察拍摄",110.333333333333,20,"Passeriformes","Hainan","Range shift or distribution change"
871,"Gracupica nigricollis","PASSERIFORMES","雀形目","海南省","Hainan",2006,"分布变化","观察拍摄",110.5865823,19.9672118,"Passeriformes","Hainan","Range shift or distribution change"
822,"Pycnonotus aurigaster","PASSERIFORMES","雀形目","海南省","Hainan",2006,"分布变化","观察拍摄",110.333333333333,20,"Passeriformes","Hainan","Range shift or distribution change"
562,"Riparia riparia","PASSERIFORMES","雀形目","海南省","Hainan",2006,"分布变化","观察",110.01,19.97,"Passeriformes","Hainan","Range shift or distribution change"
525,"Bucanetes mongolicus","PASSERIFORMES","雀形目","黑龙江省","Heilongjiang",2006,"分布变化","环志捕获，标本采集",101.06188,41.971086,"Passeriformes","Heilongjiang","Range shift or distribution change"
862,"Sitta villosa","PASSERIFORMES","雀形目","黑龙江省","Heilongjiang",2006,"分布变化","环志捕获",126.66285,45.74208,"Passeriformes","Heilongjiang","Range shift or distribution change"
471,"Cisticola juncidis","PASSERIFORMES","雀形目","辽宁省","Liaoning",2006,"分布变化","观察",123.619033768175,39.933110384813,"Passeriformes","Liaoning","Range shift or distribution change"
